study_id,site_id,title,species_guess,lat,lon,online
11194,Tropical Pacific,"1,100 Year El Niño/Southern Oscillation (ENSO) Index Reconstruction",,,,https://www.ncei.noaa.gov/access/paleo-search/study/11194
22315,Tropics,2000 Year Tropical Rainfall Reconstructions,,,,https://www.ncei.noaa.gov/access/paleo-search/study/22315
14632,Nino3.4,700 Year El Niño/Southern Oscillation (ENSO) Niño3.4 Index Reconstruction,,,,https://www.ncei.noaa.gov/access/paleo-search/study/14632
36696,Northwestern Europe,A 641-year Regional Summer Soil Moisture Reconstruction in Western Europe,Reconstruction in,,,https://www.ncei.noaa.gov/access/paleo-search/study/36696
23930,Brooks Range Upland,Ackerman - Brooks Range Upland - SAPC - ITRDB AK161,,,,https://www.ncei.noaa.gov/access/paleo-search/study/23930
23931,Inigok Riparian,Ackerman - Inigok Riparian - SAPC - ITRDB AK162,,,,https://www.ncei.noaa.gov/access/paleo-search/study/23931
23932,Inigok Upland,Ackerman - Inigok Upland - SAPC - ITRDB AK163,,,,https://www.ncei.noaa.gov/access/paleo-search/study/23932
23933,Itkillik Upland,Ackerman - Itkillik Upland - SAPC - ITRDB AK164,,,,https://www.ncei.noaa.gov/access/paleo-search/study/23933
22053,Kuparuk Riparian,Ackerman - Kuparuk Riparian - SAPC - ITRDB AK151,,,,https://www.ncei.noaa.gov/access/paleo-search/study/22053
22054,Kuparuk Upland,Ackerman - Kuparuk Upland - SAPC - ITRDB AK152,,,,https://www.ncei.noaa.gov/access/paleo-search/study/22054
8483,Rancho Nuevo,Acuña Soto - Rancho Nuevo - PIMZ - ITRDB MEXI042,,,,https://www.ncei.noaa.gov/access/paleo-search/study/8483
2657,Fernow Experimental Forest,Adams - Fernow Experimental Forest - QUPR - ITRDB WV003,,,,https://www.ncei.noaa.gov/access/paleo-search/study/2657
2658,Scheelite Canyon Huachuca Mountains,Adams - Scheelite Canyon Huachuca Mountains - PSME - ITRDB AZ556,,,,https://www.ncei.noaa.gov/access/paleo-search/study/2658
2659,Webb Peak LTRR 2001,Adams - Webb Peak LTRR 2001 - PSME - ITRDB AZ559,,,,https://www.ncei.noaa.gov/access/paleo-search/study/2659
40477,Blumenau - SC,Adenesky-Filho - Blumenau - SC - CEFI - ITRDB BRA047,,,,https://www.ncei.noaa.gov/access/paleo-search/study/40477
